"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00172002","和泰汽車貨運股份有限公司","基隆市仁愛區忠三路99號7樓之11","吳何秀鳳","15000000","1101227"
"2","00225107","碩山交通股份有限公司","桃園市大溪區福安里頭寮路187巷20號2樓","李淑芬","25000000","1101210"
"3","00385309","裕隆工程股份有限公司","基隆市中正區德義里信四路11號5樓","劉裕仁","60000000","1101206"
"4","00664745","鴻源報關股份有限公司","基隆市仁愛區忠三路99號6樓11室","黃遙棉","5000000","1101229"
"5","00693734","中僑汽車貨運有限公司","基隆市仁愛區忠三路99號7樓之11","吳何秀鳳","15000000","1101223"
"6","00696612","毅榮機械工業有限公司","臺中市清水區橋頭里民有路四一號","","1000000","1101202"
"7","00703796","遠志交通有限公司","基隆市仁愛區忠三路99號7樓之9","吳宜臻","10000000","1101217"
"8","00778114","日得冷凍食品工業股份有限公司","基隆市安樂區武訓街55號","王瑞祥","9000000","1101201"
"9","00805724","弘運交通有限公司","基隆市中正區中正路448號","胡芷涵","5000000","1101228"
"10","00808124","啟勝通運股份有限公司","高雄市左營區政德路304號5樓","梁恒山","15000000","1101208"
"11","00844923","得瑞交通股份有限公司","基隆市仁愛區仁二路49號","鄭秀惠","26000000","1101207"
"12","00895008","遠至交通有限公司","基隆市仁愛區忠三路99號7樓之11","吳何秀鳳","4200000","1101217"
"13","01071832","怡程股份有限公司","臺北市中山區吉林路24號7樓之2","程春國","180000000","1101222"
"14","01129588","億皇實業有限公司","桃園市八德區興仁里中山路18號(一樓)","楊智強","5000000","1101213"
"15","01176097","富吉國際股份有限公司","臺北市中山區民生西路54號5樓之7","張錦川","5040000","1101203"
"16","01187475","春霖企業管理有限公司","臺北市松山區慶城街46巷27號1樓","賴鍵武","1000000","1101223"
"17","01456180","三力電腦股份有限公司","臺北市大安區敦化南路1段200號7樓之4","蔡肇基","13000000","1101203"
"18","01509779","汎聯企業股份有限公司","臺北市大安區安和路2段63號3樓之1","賴美珠","10000000","1101209"
"19","01517124","國眾電腦股份有限公司","臺北市內湖區陽光街298號3樓","王超群","873701230","1101202"
"20","01631223","薪溢企業有限公司","臺北市內湖區潭美街173號3樓","謝寶娥","2000000","1101214"
"21","01884606","祐鋒實業股份有限公司","彰化縣芳苑鄉後寮村工區四路9號","謝陳文琴","29394000","1101228"
"22","01979785","中麟營造股份有限公司","臺北市大安區信義路4段235號2樓之1","王中平","1200000000","1101210"
"23","01981234","竑佑特殊鋼股份有限公司","新北市樹林區武林街2之2號","謝國雄","60000000","1101213"
"24","02043223","統勝工業股份有限公司","臺北市南港區南港路3段137號1樓","簡錦德","1200000","1101207"
"25","02521104","協同造船廠股份有限公司","基隆市中正區和一路123號","洪紹傑","25000000","1101229"
"26","02628350","大暉度量衡器有限公司","桃園市八德區茄苳里茄苳路889巷36號","陳英輝","10000000","1101227"
"27","02629490","錡宏科技股份有限公司","桃園市桃園區玉山里漢中路119巷26弄92號","林黃彰","28000000","1101223"
"28","02657740","裕大輪圈股份有限公司","桃園市中壢區新中北路1133之1號","朱永靖","86000000","1101209"
"29","03009820","三禾膠業有限公司","臺北市大同區華陰街173號","張誠顯","3000000","1101224"
"30","03027502","宏遠證券股份有限公司","臺北市大安區信義路4段236號3至5樓及7樓","姜克勤","3313694300","1101210"
"31","03063106","中北貿易股份有限公司","臺北市大安區安和路2段92號地下1樓","謝宗欣","3000000","1101206"
"32","03064409","中央炭素股份有限公司","臺北市大同區長安西路150號11樓","日卷慶朗","23100000","1101215"
"33","03087803","中殼潤滑油股份有限公司","高雄市楠梓區宏毅二路南12巷2號1樓","李雨庭","690408000","1101224"
"34","03089008","中國砂輪企業股份有限公司","新北市鶯歌區中山路64號","林伯全","1417780000","1101207"
"35","03098908","日盛證券股份有限公司","臺北市中山區南京東路2段111號3、4樓","程明乾","11572127600","1101202"
"36","03136516","遠興化學工業股份有限公司","臺北市大安區安和路2段92號","","0","1101215"
"37","03174102","永龍交通事業股份有限公司","臺北市內湖區成功路4段41巷6之1號5樓","劉育榮","40000000","1101208"
"38","03193109","秀山交通器材股份有限公司","新北市板橋區文化路2段427號","楊秀川","900000000","1101228"
"39","03244509","亞洲水泥股份有限公司","臺北市大安區敦化南路2段207號30、31樓","徐旭東","35455720710","1101203"
"40","03244705","萬洲化學股份有限公司","臺北市內湖區行善路397號6樓","李其政","3999048480","1101217"
"41","03253725","明照實業股份有限公司","臺北市中正區重慶南路1段57號9樓之16","蔡火信","9000000","1101222"
"42","03374805","富邦金融控股股份有限公司","臺北市中山區遼寧街179號15樓、16樓","蔡明興","134049543940","1101227"
"43","03407502","勝東實業股份有限公司","臺北市松山區復興北路57號6樓","林永青","59920000","1101223"
"44","03415101","華南產物保險股份有限公司","臺北市信義區興隆里忠孝東路4段560號5樓","凃志佶","2001386250","1101216"
"45","03431502","富農化學工業股份有限公司","桃園市觀音區保障里9鄰草漯51之10號","翁聰仁","219780000","1101220"
"46","03434016","中國人壽保險股份有限公司","臺北市松山區敦化北路122號5樓","譚碩倫","49206531310","1101216"
"47","03436008","景德製藥股份有限公司","臺北市內湖區港墘路221巷41號4樓","劉念華","450000000","1101206"
"48","03439808","復興木業股份有限公司","臺北市中山區南京東路2段53號9樓","程沛雲","220625080","1101214"
"49","03449806","博大汽車股份有限公司","臺北市大同區市民大道1段205號12樓之7","陳美惠","10000000","1101207"
"50","03450401","新中美貿易股份有限公司","臺北市中山區雙城街19巷21號4樓、5樓","李道一","12000000","1101222"
"51","03458902","新光人壽保險股份有限公司","臺北市中正區忠孝西路1段66號31-43樓","潘柏錚","69979017270","1101209"
"52","03491803","萬源紡織股份有限公司","臺北市中正區重慶南路1段77號9樓","杜恒誼","198000000","1101207"
"53","03553510","台灣米漢納金屬有限公司","高雄市左營區富民路38號1樓","潘國桐","1000000","1101216"
"54","03555101","臺灣工礦股份有限公司","臺北市內湖區民權東路6段180巷6號5樓之12","俞葆森","1321646040","1101220"
"55","03561011","三地開發地產股份有限公司","高雄市苓雅區中正二路175號16樓之3","鍾育霖","712057590","1101220"
"56","03564100","國正實業股份有限公司","臺北市中山區林森北路646號","何宗嶽","46000000","1101207"
"57","03578218","德貿股份有限公司","臺北市中正區林森北路5巷6號1樓","李華強","96000000","1101222"
"58","03700301","臺灣土地銀行股份有限公司","臺北市中正區黎明里10鄰館前路46號","謝娟娟","86200000000","1101223"
"59","03793407","臺灣中小企業銀行股份有限公司","臺北市大同區玉泉里9鄰塔城街30號","林謙浩","77431952950","1101228"
"60","04200199","陽明海運股份有限公司","基隆市七堵區明德一路271號","鄭貞茂","34921042700","1101217"
"61","04210696","上仁通運有限公司","高雄市大寮區內坑里內坑路一一○之二六號一樓","楊景茂","28000000","1101222"
"62","04212287","佳納貿易有限公司","臺北市中山區長安東路1段21號7樓","朱耿輝","28000000","1101210"
"63","04216170","霖園投資股份有限公司","臺北市大安區仁愛路4段296號24樓","林翁全","24284100000","1101206"
